COURSE CODE ,"23MCA1CC4   
",,,,,,TITLE OF THE COURSE ,,,,Resource Management Techniques,,,,,,,,,,,,,,Total No. of Students,,,,58.00,,,,,
Register Number,Q.No./ Exam,,LOT,MOT,HOT,TOTAL Not needed for Calc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CIA - II,,17,18,7,42.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - I,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - II,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,33,41,11,85.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESE,,22,19,7,48.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23MCA069,CIA - I,,15,23,8,46.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CIA - II,,21,22,7,50.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - I,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - II,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,36,45,15,96.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESE,,18,28,7,53.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23MCA070,CIA - I,,15,16,8,39.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CIA - II,,20,19,6,45.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - I,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - II,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,35,35,14,84.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESE,,19,19,7,45.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23MCA071,CIA - I,,13,18,0,31.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CIA - II,,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - I,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - II,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,13,18,0,31.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESE,,17,15,5,37.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23MCA072,CIA - I,,11,24,2,37.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CIA - II,,21,26,0,47.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - I,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
